efc,soh,capacity_ah,type,temperature_c
1460.0,81.2956929249566,2.438870787748698,estimated,26.2513
1461.0,81.28609004213007,2.438582701263902,estimated,27.042
1462.0,81.27649963307219,2.4382949889921655,estimated,25.6353
1463.0,81.26688523599766,2.43800655707993,estimated,26.5873
1464.0,81.25729482693978,2.4377188448081935,estimated,25.9187
1465.0,81.24769578219592,2.4374308734658774,estimated,26.5973
1466.0,81.23811592786537,2.437143477835961,estimated,27.1373
1467.0,81.22852935689015,2.4368558807067044,estimated,26.108
1468.0,81.21892839310495,2.4365678517931486,estimated,27.0707
1469.0,81.2093312674024,2.4362799380220723,estimated,25.4167
1470.0,81.19971878936921,2.4359915636810765,estimated,26.628
1471.0,81.19013029935267,2.4357039089805803,estimated,26.314
1472.0,81.1805370117328,2.435416110351984,estimated,26.6547
1473.0,81.17092069561694,2.435127620868508,estimated,27.076
1474.0,81.16133316512108,2.434839994953632,estimated,26.2173
1475.0,81.15173412037718,2.4345520236113156,estimated,26.8947
1476.0,81.14214946844331,2.4342644840532994,estimated,25.534
1477.0,81.13257345219543,2.433977203565863,estimated,26.4307
1478.0,81.12296960984823,2.4336890882954467,estimated,26.1487
1479.0,81.1133868769557,2.4334016063086708,estimated,26.7467
1480.0,81.10377056083983,2.433113116825195,estimated,26.924
1481.0,81.09418782794728,2.4328256348384185,estimated,26.0833
1482.0,81.08459070224474,2.4325377210673422,estimated,27.3193
1483.0,81.07500700983152,2.4322502102949457,estimated,25.6227
1484.0,81.06539645083967,2.43196189352519,estimated,26.3887
1485.0,81.05579644657513,2.431673893397254,estimated,25.5413
1486.0,81.04621755176525,2.4313865265529575,estimated,26.6933
1487.0,81.03661562845937,2.431098468853781,estimated,27.104
1488.0,81.02699547426086,2.4308098642278257,estimated,26.3413
1489.0,81.01740026759964,2.4305220080279892,estimated,27.246
1490.0,81.00783192751709,2.4302349578255127,estimated,25.8687
1491.0,80.99822712564922,2.429946813769477,estimated,26.576
1492.0,80.98864151419468,2.4296592454258406,estimated,25.0947
1493.0,80.97904630753347,2.429371389226004,estimated,26.8907
1494.0,80.96943286997961,2.4290829860993886,estimated,27.4027
1495.0,80.9598491775664,2.428795475326992,estimated,26.406
1496.0,80.95025205186386,2.4285075615559157,estimated,27.2813
1497.0,80.94066548088867,2.4282199644266598,estimated,26.3513
1498.0,80.93105492189679,2.4279316476569037,estimated,26.8273
1499.0,80.92147794612823,2.427644338383847,estimated,25.9653
1500.0,80.91188177994636,2.427356453398391,estimated,26.8947
1501.0,80.90226642335118,2.427067992700535,estimated,25.114
1502.0,80.89266162148331,2.4267798486444994,estimated,26.4973
1503.0,80.8830750505081,2.426492251515243,estimated,26.354
1504.0,80.8734990342602,2.4262049710278064,estimated,26.5993
1505.0,80.863898070475,2.42591694211425,estimated,26.848
1506.0,80.85428271387981,2.4256284814163944,estimated,26.23
1507.0,80.84468750721861,2.4253406252165584,estimated,27.204
1508.0,80.83511628857406,2.425053488657222,estimated,25.8207
1509.0,80.82550668910287,2.424765200673086,estimated,26.5833
1510.0,80.81592107764833,2.4244776323294497,estimated,25.3767
1511.0,80.80632011386312,2.4241896034158934,estimated,26.972
1512.0,80.79671147391258,2.4239013442173776,estimated,27.4147
1513.0,80.78712490293736,2.423613747088121,estimated,26.4313
1514.0,80.77753545340016,2.423326063602005,estimated,27.0293
1515.0,80.76795272050762,2.4230385816152284,estimated,26.4973
1516.0,80.7583603924084,2.4227508117722523,estimated,27.0333
1517.0,80.74874887389588,2.4224624662168766,estimated,26.276
1518.0,80.73915078867267,2.42217452366018,estimated,27.1407
1519.0,80.7295690153008,2.421887070459024,estimated,25.928
1520.0,80.71995845630893,2.421598753689268,estimated,26.6187
1521.0,80.71037476389571,2.4213112429168717,estimated,25.45
1522.0,80.70077475963119,2.4210232427889355,estimated,26.9167
1523.0,80.69117475536665,2.4207352426609994,estimated,27.2653
1524.0,80.68159394151544,2.420447818245463,estimated,26.304
1525.0,80.6719853015649,2.420159559046947,estimated,26.6587
1526.0,80.66240160915169,2.419872048274551,estimated,26.7133
1527.0,80.6527804954325,2.419583414862975,estimated,27.1753
1528.0,80.64321023630862,2.4192963070892586,estimated,26.3593
1529.0,80.6336150296474,2.419008450889422,estimated,27.176
1530.0,80.62400063257287,2.4187200189771865,estimated,26.3107
1531.0,80.61440062830835,2.4184320188492503,estimated,26.6413
1532.0,80.60483612630846,2.4181450837892537,estimated,25.872
1533.0,80.59524283868859,2.4178572851606575,estimated,27.0853
1534.0,80.58562940113472,2.4175688820340415,estimated,25.388
1535.0,80.57603899207683,2.417281169762305,estimated,26.642
1536.0,80.56643994733297,2.416993198419989,estimated,25.0433
1537.0,80.55684186210978,2.416705255863293,estimated,26.7453
1538.0,80.54725529113456,2.4164176587340367,estimated,27.3047
1539.0,80.53764665118402,2.416129399535521,estimated,26.3873
1540.0,80.52805624212614,2.4158416872637845,estimated,27.054
1541.0,80.51846295450628,2.415553888635188,estimated,24.0607
1542.0,80.50886199072109,2.4152658597216323,estimated,24.556
1543.0,80.49926678405987,2.4149780035217963,estimated,24.0393
1544.0,80.48967541548132,2.4146902624644397,estimated,24.722
1545.0,80.48006773505146,2.414402032051544,estimated,24.058
1546.0,80.47050419257224,2.414115125777167,estimated,24.4453
1547.0,80.46090994543171,2.413827298362951,estimated,23.7013
1548.0,80.45128691267116,2.413538607380135,estimated,24.958
1549.0,80.44168978696864,2.413250693609059,estimated,23.7387
1550.0,80.43209649934876,2.412962894980463,estimated,24.1633
1551.0,80.42250609029088,2.4126751827087265,estimated,23.6627
1552.0,80.41292239787768,2.4123876719363304,estimated,24.7153
1553.0,80.40332527217514,2.412099758165254,estimated,23.1933
1554.0,80.3937281464726,2.411811844394178,estimated,23.9833
1555.0,80.38412622316673,2.411523786695002,estimated,23.3507
